Treatment,Outcome,IV1,IV2,,,
1.180759517,2.198077317,0.442249104,-0.120735919,,,
2.300155526,4.04856595,-0.54713782,0.668242744,,,
1.70929588,3.443398844,0.163472104,0.147765757,,,
1.154522162,1.893414682,0.410331379,0.148902885,,,
0.616592021,2.410265966,-0.219736242,-0.417593096,,,
-2.918105777,-2.393823564,-1.792539413,-0.44654005,,,
-0.379734484,2.336776828,-0.841187225,-0.907563076,,,
-2.784793392,-2.928889505,-2.627817763,0.088667513,,,
-0.885274725,-2.370907497,0.543190322,0.812816877,,,
-0.944286452,-2.300249454,-1.695111583,0.83951413,,,
-1.532624961,-2.171041651,0.006225191,0.74233587,,,
-1.009089363,-3.140434966,-0.44852484,0.502567798,,,
0.193191178,1.359733509,-0.591001633,0.183088448,,,
1.500113841,3.783020156,-0.625525843,0.722539989,,,
-2.638859247,-4.375531052,-0.684111813,0.009915138,,,
-2.505193508,-1.973608137,-3.610298472,0.522545125,,,
1.297090537,1.438396467,-0.304784902,0.347343343,,,
-0.160226724,1.510021426,-0.889146188,-0.6736248,,,
1.501775796,2.446414223,-0.045557446,-0.571774953,,,
-1.313966002,-1.88927046,-2.116481261,0.067850339,,,
-1.11101428,-2.630656592,-0.236562998,-0.18240718,,,
0.363359776,0.43866234,-0.445210827,0.175171604,,,
0.129208447,1.765261032,-0.935737788,-0.160925103,,,
-2.982248332,-4.989078067,-1.178497437,-0.53394488,,,
-3.007597244,-2.46735158,-3.998892042,0.060470088,,,
-1.364909389,-1.579742189,-1.857762139,-0.192921903,,,
-1.809948875,-3.204006479,0.425798225,-0.087251164,,,
0.100978886,2.36720479,-0.642031675,-0.690529657,,,
0.532337074,1.144736806,-0.488039402,0.066842134,,,
-1.995979776,-4.608876695,-0.789954971,0.497243638,,,
0.562016537,2.543273589,-0.611730708,-0.091996222,,,
-0.089606527,2.260772266,-1.083179686,-0.10849586,,,
-0.410205113,0.611129127,-1.470782264,-0.407597825,,,
-3.040972308,-4.988410247,-0.269811906,-0.864705548,,,
0.398372081,0.027926349,-0.115618939,0.694062551,,,
-2.593640942,-3.882291131,-1.145110493,0.837488915,,,
-2.417680994,-4.152627168,-1.047222787,0.03727031,,,
0.818390013,2.722752724,0.031209309,0.507378722,,,
-6.482979955,-6.238535255,-4.706539501,-0.932016466,,,
-0.292788086,0.9536825,-0.994351926,-0.886011859,,,
-0.764547322,-0.630847214,-1.27932218,0.366023157,,,
-1.908327901,-0.378188273,-1.682086892,0.024111288,,,
-0.230129932,-1.748289602,0.065123985,0.793474335,,,
-3.801305626,-3.839362866,-3.732702076,0.306043918,,,
-1.932789762,-1.684438365,-1.537699839,-0.653177575,,,
-2.465258074,-3.078126861,-2.132139983,-0.507017221,,,
-2.748498029,-2.992106215,-1.309865624,-0.086330018,,,
-2.645163378,-3.487233906,-1.746123743,0.102464176,,,
-2.662793707,-2.670086704,-2.532438793,-0.726517567,,,
-2.065173662,-3.231317639,-1.514273775,-0.149438336,,,
-0.953887192,-0.939767204,-0.668750554,-0.397249709,,,
-2.174306766,-4.451513312,-0.415779794,0.431270877,,,
-1.37681411,-2.827245022,-0.925951421,0.99835759,,,
-3.946076889,-3.457844402,-3.717714359,0.489704009,,,
-1.787136689,-2.324086139,0.469146426,-0.85022839,,,
-1.444738899,-0.795300259,-2.082313925,-0.181940066,,,
0.155161734,1.522217273,-0.631109511,-0.365654253,,,
-1.587074909,-1.893606286,-2.46380526,0.254407006,,,
-0.1134678,1.470412173,-2.142191742,0.501518517,,,
1.149151602,2.064334879,-0.375426163,-0.192379145,,,
-2.302082249,-4.52866766,0.588953923,-0.541932469,,,
-1.370780476,-1.988936639,-1.521944727,0.530294179,,,
-3.723459347,-5.644936436,-1.179392508,-0.395043175,,,
-1.07849384,-0.997775042,-0.985776109,0.402175754,,,
-1.153016811,-1.608137906,-2.54700977,0.756061744,,,
0.169022107,-0.218854395,-1.7484281,0.805590344,,,
-0.622051989,-2.156410676,0.150473238,-0.298400385,,,
1.266402086,3.984542178,-0.415202085,-0.645716558,,,
1.348544735,2.05415692,0.040454102,-0.780840837,,,
2.249107477,3.355826309,-0.347230555,0.721454769,,,
-1.316757515,-0.024925335,-1.066239566,-0.12483408,,,
-1.505506182,-2.977836643,-0.993880237,0.388179506,,,
2.37048907,4.723041972,0.539778808,0.793957707,,,
-4.07082783,-4.555720201,-3.958167189,0.175778804,,,
-2.508862931,-2.609661161,-1.695680646,0.570255916,,,
-5.914690673,-6.871440372,-5.217643996,0.07930497,,,
-1.897909886,-3.967347971,0.567601403,-0.053675123,,,
-2.039356547,-2.648143186,-0.854494304,0.925796232,,,
-3.042651465,-4.067069774,-1.443076825,-0.598430511,,,
-1.967275337,-4.182861748,0.360587645,-0.410397379,,,
-0.845058456,-1.241247233,-2.171779497,0.808392568,,,
-3.148056018,-2.572275389,-2.458167273,-0.423229064,,,
1.398115872,2.33924823,-0.703389948,0.869483342,,,
-1.093915381,-0.794519414,-1.519467015,0.030873935,,,
-0.63478745,-0.519815739,-1.010090425,-0.534783035,,,
2.065416604,4.145722013,-0.672724211,0.398996746,,,
-2.246924158,-2.240227418,-2.461686468,-0.72593593,,,
-1.197519092,-2.354727258,-0.753223166,0.089778178,,,
-2.876805979,-4.580089086,-1.482530128,-0.300349521,,,
-2.584865455,-3.137495245,-2.898274647,-0.588837182,,,
2.054410998,2.509821988,-0.380887814,0.371702047,,,
0.781113446,1.867998557,-0.989974784,0.706490115,,,
1.739228463,4.197175042,0.004351999,0.038066864,,,
-0.180340546,0.444771317,-1.456097272,0.16058983,,,
-2.367683318,-3.905960426,-1.569261891,-0.664359603,,,
2.345693795,4.495406051,0.481963643,-0.315587888,,,
0.960055873,2.247860021,-0.119966036,-0.153647129,,,
-2.015398124,-2.085263675,-1.677967645,-0.407572753,,,
-1.77674203,-2.069604964,-1.880266663,-0.041824926,,,
-1.909679647,-1.655911605,-2.734504833,0.612214117,,,
-2.076692264,-3.810485876,-1.044710798,-0.347360897,,,
0.88866499,3.144908477,-1.107979811,0.145678032,,,
-2.75229634,-3.134399818,-1.958313204,-0.016985341,,,
-3.43383553,-4.181307449,-3.165781915,-0.403546518,,,
-2.403942914,-3.36827775,-1.375236469,-0.605244052,,,
-0.005274426,-0.54993658,0.410452643,0.726856533,,,
-1.8648422,-2.356899291,-0.595012561,-0.272155785,,,
-2.164563864,-2.640989287,-1.978361525,-0.724584013,,,
-1.083762572,-1.299117825,-1.815131014,0.708669313,,,
1.357199249,3.971018205,-0.208270174,-0.551527993,,,
-4.341345641,-4.803368733,-6.069548152,0.900008479,,,
1.474217228,2.75555304,0.326526452,0.577089359,,,
-0.890154209,-0.683808246,-0.387424795,-0.439257526,,,
-1.715630815,-0.641921379,-2.386223789,0.226263559,,,
-0.31026812,0.175405552,-0.166618192,-0.545160841,,,
1.630367919,1.925107768,-0.630559374,0.393158718,,,
0.121827657,-0.573729263,0.16143581,0.763880515,,,
-1.631824664,-2.315405939,-0.166726885,0.169810061,,,
-3.891786662,-4.614154493,-2.575894284,-0.355799911,,,
0.124379546,1.049734625,-0.766092051,-0.522062502,,,
2.319051979,4.102424367,-0.548931484,0.658936231,,,
-5.146861619,-4.494612035,-4.073509657,-0.592497634,,,
-2.738688968,-2.223185579,-1.628109833,-0.602035974,,,
-3.131694073,-4.523551336,-0.910976751,-0.388938699,,,
3.425033892,5.977980501,0.5204684,0.589672925,,,
0.899051414,2.87871202,-0.57399118,0.920590462,,,
-1.317295797,-1.776006984,-1.233659216,-0.563656925,,,
-4.060099038,-4.748192133,-3.204246404,-0.245454619,,,
-0.824818739,0.88879402,-1.560876607,-0.539909194,,,
-0.724427543,-0.546146569,-0.804581534,0.280958023,,,
-2.251780577,-2.279999042,-1.780479685,-0.252000335,,,
2.959866774,4.458309988,0.53586386,0.892175133,,,
-1.852741568,-3.832037391,-1.139500998,0.188550663,,,
2.594037857,4.091273228,0.075688476,0.088164977,,,
-3.206665088,-2.841439962,-2.232404251,-0.558833829,,,
0.435791309,1.680541422,-0.85152468,0.523758281,,,
0.917902264,2.31173879,-0.751806862,0.20804213,,,
-4.90002772,-5.380535983,-4.578064279,0.032429177,,,
-1.652683418,-3.018610378,0.177774,-0.112015054,,,
-2.857367095,-4.275132397,-1.32388535,-0.906181318,,,
-0.455102864,-1.288569501,-0.500646479,0.386798979,,,
-0.837186806,-0.582005335,-1.478094368,0.358924143,,,
0.912300266,2.23829201,-0.188184183,-0.63137793,,,
-1.216245942,-0.637592343,-2.726355882,0.846184927,,,
-0.607760707,-1.348574826,-0.969873435,0.210040034,,,
-3.624881289,-3.851085946,-1.128714886,-0.97203745,,,
-2.332803919,-2.137107388,-0.010038127,-0.664448913,,,
-1.451700856,-3.891902029,0.7481262,0.081564694,,,
-3.319210365,-3.870228475,-1.975947414,-0.852152506,,,
-2.156400429,-4.221202231,-1.111736117,-0.303435122,,,
0.505394188,0.987552418,-0.050979985,0.065341279,,,
-0.80529945,-2.117387142,0.505454268,-0.011097569,,,
-2.496229328,-0.777216465,-1.706888805,-0.807758619,,,
-2.644567557,-2.503991974,-3.024618176,-0.48773343,,,
-1.639536687,-4.330427111,0.424664063,0.467944551,,,
-2.75644087,-1.927525782,-2.144376635,-0.535740515,,,
1.392556524,1.915164516,-0.47952178,0.720386833,,,
0.901832536,2.020299503,0.153171818,-0.248923323,,,
0.70862662,-1.164294045,-0.168130022,0.992217369,,,
0.742617072,3.272768919,-0.9455558,-0.581617488,,,
-2.482252371,-4.670190992,-0.561940896,0.476943618,,,
-2.469671088,-2.636425734,-1.312215053,0.828195858,,,
-2.104199917,-3.39321796,-1.12074962,-0.626332002,,,
-1.63644202,-3.481768536,-0.964614748,0.715828344,,,
2.646074127,4.915144324,0.148708418,0.77418469,,,
-0.805070738,0.764324078,-1.108533838,-0.095551543,,,
-1.811211366,-1.467971785,-2.695406614,0.571693089,,,
0.743105978,0.998322042,-0.508589825,0.540073538,,,
-2.879635937,-4.275895293,-1.309370394,-0.856985894,,,
-2.389087245,-1.017080274,-1.314996907,-0.738459047,,,
0.049689867,0.69055226,-1.092931132,0.4967573,,,
-3.424784371,-2.892818324,-3.787236637,0.053862432,,,
-1.577687013,-2.258017132,-1.359043966,-0.510927157,,,
-2.315825394,-4.201474583,-0.921563128,0.559495686,,,
-2.762633569,-2.216208768,-4.291513731,0.735125391,,,
-1.813136602,-2.518608654,-0.283883976,-0.28720596,,,
-1.515792753,-1.506948974,-1.228296009,0.394617407,,,
1.630890393,3.224255105,-0.109754558,0.65584798,,,
-1.344169692,-2.213140239,0.400696351,-0.584957198,,,
-3.032601583,-3.631619587,-1.868309413,0.228398015,,,
-0.935010278,0.376910486,-0.67751532,-0.238223628,,,
-2.114975236,-2.328232366,-0.694906642,-0.183759628,,,
-1.467844192,-3.102651039,0.101508284,0.629597607,,,
-1.38749688,-1.740113621,-0.768271334,-0.979337428,,,
-1.650149486,-2.053553654,-1.106465579,0.905433008,,,
-2.820240809,-3.564411485,-1.241554128,-0.146996633,,,
-6.215380564,-6.058393023,-5.704796211,-0.061482381,,,
-0.459052021,-1.546663479,-0.203586041,0.070982485,,,
0.551723959,2.514890597,-0.358297843,-0.682855877,,,
-0.659381573,-0.007638758,-0.77011517,0.464109487,,,
-4.35947763,-4.70336516,-3.326866338,-0.637922648,,,
-0.48114748,-0.834240872,-0.736882668,-0.077579984,,,
-3.205287137,-5.811298015,-1.132480517,0.574599597,,,
0.238258688,-0.02964183,-1.367328963,0.220033395,,,
-3.36288761,-3.568349263,-1.902388315,-0.652219237,,,
-0.285943233,0.033192847,-0.04269688,-0.77855996,,,
0.202987654,0.554973642,-0.369042155,-0.17676954,,,
-2.01580566,-2.778711446,-1.567424596,-0.532636366,,,
-1.122558871,-1.478842365,0.118933536,-0.042158628,,,
1.532038337,3.262133513,0.301385785,0.901551309,,,
2.995949365,4.00889956,0.6442223,0.750399041,,,
-1.400447292,-0.723331325,-1.91872599,-0.612805929,,,
-1.164626345,-2.764146419,0.407199756,0.779664507,,,
-0.591998645,-1.13292862,-0.708469526,-0.192527185,,,
1.365832305,2.00635101,-0.539241879,0.797567057,,,
-1.401498735,-1.965929783,-1.108181167,0.090913441,,,
0.038045066,2.166313903,-1.219743539,0.766555584,,,
-1.351066078,-2.55982569,-1.325983931,0.601188861,,,
-1.513923858,-2.884484242,-0.726396787,0.873979842,,,
-1.773926596,-2.00113454,-2.05536895,0.710452938,,,
-0.933090193,0.277771579,-1.000143635,-0.720662079,,,
-0.173258787,1.601036994,-1.645401776,0.629245392,,,
-1.409695421,-2.470100291,-0.075704974,0.117111786,,,
-0.228535656,0.53805586,-0.629886134,-0.51319044,,,
-3.20075797,-3.64552931,-1.407863647,-0.945437105,,,
-2.381338041,-3.462361917,-1.528022637,-0.219506497,,,
3.215029361,4.178709522,-0.140823322,0.830338195,,,
-1.425231244,-1.459231904,-1.533109488,-0.977018365,,,
-1.356950581,-2.645554582,-0.118595115,0.012352484,,,
-0.751449531,0.021943729,-1.854427458,0.36729068,,,
1.738087914,2.564788377,-0.471720351,0.620687407,,,
2.273807137,5.099750446,0.267381383,-0.54380762,,,
0.123713667,-1.598065323,-0.222413115,0.108395387,,,
0.011107922,1.659967392,-1.252367358,-0.323794747,,,
-1.831576553,-2.629693898,0.650220966,-0.356122455,,,
-3.131933094,-4.090577179,-3.143840727,0.783370654,,,
-4.06313114,-3.293106528,-4.36455847,-0.328259936,,,
2.926093254,4.484880367,0.298851846,0.2405382,,,
1.797442572,3.681081717,0.640306405,-0.888348063,,,
-0.870157348,-0.743277055,-0.281798225,0.226611006,,,
-1.962642089,-3.148842156,0.030229854,-0.40486358,,,
-0.776188782,-1.971755056,0.098386088,0.606181931,,,
0.379100384,1.32435147,-0.711383569,0.231314564,,,
-1.128122012,-1.782456737,-0.001521277,-0.380036018,,,
1.004131302,2.032302235,0.275199885,-0.530799264,,,
-2.421866153,-4.1089755,-1.4066029,-0.122143744,,,
1.602819885,3.93113621,-0.676275571,0.635027123,,,
-1.258805517,-3.09525165,0.188951854,0.197103045,,,
2.517554183,4.470059912,0.327032204,0.423699852,,,
2.610900231,5.283109538,0.551334867,-0.656733764,,,
-1.930231333,-2.436984637,-0.732163261,-0.592537468,,,
-2.328010807,-3.753817953,-0.55310128,-0.494126748,,,
-0.692639199,0.81170992,-1.781518018,0.244581705,,,
0.496944592,2.713228395,0.505587786,-0.729805842,,,
2.825869098,5.008440647,0.633730701,0.607845337,,,
-4.146360735,-3.718572107,-2.636012187,-0.442403048,,,
-0.003146399,0.131325556,-0.669360097,0.961342462,,,
-0.202363322,0.025889217,0.211005661,-0.718607702,,,
0.264160871,0.024295137,-0.778155943,0.987128095,,,
-0.158977816,-0.310875448,-0.482349555,0.831699098,,,
-1.295300664,-2.438868878,-1.543442795,0.408177713,,,
-1.865957396,-4.013728989,-0.548544957,0.079358258,,,
-1.748466714,-1.700032908,-1.96862405,0.994660954,,,
1.925876367,3.872522226,0.546247839,-0.401923792,,,
0.051894429,0.123907965,-1.186349722,-0.085963912,,,
-1.701804124,-2.403424801,-0.912717577,-0.983678368,,,
0.220275557,2.751671345,-0.510487987,0.007893859,,,
-1.123680154,-1.551242353,-0.192413771,-0.871843857,,,
-0.088930035,1.031138888,-0.20643041,-0.961583253,,,
-3.616597873,-3.100014762,-3.840680788,0.670244507,,,
-2.575747524,-2.358332494,-3.071794254,-0.130687226,,,
-2.51925054,-1.783344398,-2.36300713,-0.877230585,,,
-3.058860636,-2.911187219,-1.0476704,-0.532787419,,,
-1.4380031,-0.982478545,-2.861131352,0.832465274,,,
-1.875373551,-3.745219964,-0.406585234,0.773468947,,,
0.176694795,2.180743746,-0.230215611,-0.79163101,,,
1.69711995,4.427738642,-0.691968354,-0.115002588,,,
0.593499225,1.224822473,-0.505132613,0.870544491,,,
-2.916451724,-4.965307151,-0.718976249,0.201105735,,,
2.383350021,3.198817777,0.089999391,-0.080642126,,,
0.713097791,1.092383169,-0.421638773,-0.953187448,,,
-4.154345472,-3.614653632,-3.996108342,-0.047330148,,,
1.831017776,3.941827725,0.639236806,-0.902665452,,,
-3.025225778,-3.889718207,-0.598924955,-0.215932184,,,
-2.885538889,-4.690695597,-0.732744575,-0.452078134,,,
0.192275039,0.13784688,-1.092850387,0.868758508,,,
-1.520178994,-1.790142439,-1.140272675,0.405653214,,,
-1.754419526,-1.339359387,-0.953705056,-0.792964461,,,
-0.493754392,-1.788503017,0.195204537,0.389528508,,,
-0.079178083,0.423758743,-1.344202711,0.09400396,,,
0.47959895,-0.380112017,0.048757313,0.953862652,,,
2.005792932,3.902338441,0.321579399,-0.458687517,,,
-0.336136123,-0.791757663,-0.883942159,0.772992602,,,
-1.287960761,-2.873074832,-0.373260404,-0.848737067,,,
-0.314197035,-0.753293571,-0.97257979,0.250432619,,,
2.289475448,4.353419155,0.015760004,0.571005264,,,
-0.3432618,0.220820844,-1.713332182,0.25594513,,,
-0.456439334,-0.753213746,-0.743245857,-0.182060227,,,
-3.793130923,-3.687222323,-2.521431258,-0.205784027,,,
1.383090639,2.675002469,-0.982832696,-0.386649669,,,
-1.817702718,-3.026291477,-1.508552496,-0.291098885,,,
-0.392455555,-0.903574148,0.14958781,0.020262785,,,
0.92930051,1.570971382,-0.74928577,0.349650898,,,
-4.27998961,-4.61972686,-3.444153944,-0.560039449,,,
-2.697462061,-2.976419055,-2.323399454,-0.385651836,,,
-2.877911085,-3.380279439,-1.38695622,0.328279427,,,
-0.726159714,-1.877381167,0.176430439,0.936976402,,,
-0.506590566,0.07950285,-0.703431424,0.347378963,,,
-1.326569208,-0.807372595,-2.311341926,-0.453074864,,,
1.123419318,4.08218007,-0.16427123,-0.531430465,,,
1.945057705,4.270672798,0.050947361,0.078098365,,,
-0.244423848,1.784889021,-0.258801121,-0.802095156,,,
-2.485743915,-4.804643089,-0.226258326,-0.155191331,,,
-1.780822595,-3.911413536,-0.750906269,0.146670614,,,
-0.364910761,-1.057714555,-0.304760043,0.247238602,,,
1.366354384,1.98567639,-0.896467368,0.828142996,,,
-0.310148975,-1.518696177,-1.338712082,0.657287518,,,
-2.512970277,-4.077379888,-1.276899275,0.019492395,,,
-0.724710649,-0.243159762,-1.24136997,0.273054152,,,
-2.504885366,-4.658758178,-0.094285194,-0.044191007,,,
-0.665900738,-2.228063065,-0.612779985,0.888363499,,,
1.217044912,1.718343548,0.333949211,-0.961493816,,,
-0.243831627,0.202139959,-1.698848138,0.118359527,,,
1.665428232,4.183737667,-0.479990976,0.916802091,,,
-2.291338882,-4.020309471,-1.002737946,-0.962501084,,,
0.008158942,-2.08667287,0.637123316,0.984035173,,,
-0.812511359,-0.81617971,-1.884623398,0.819287566,,,
-0.943549296,0.175775146,-1.502530757,-0.421841184,,,
-1.17961606,-1.164434349,-0.907857258,0.463545856,,,
-1.606638535,-2.758768886,0.199659048,-0.073725674,,,
-1.674268673,-2.992931547,-1.016227066,0.450491627,,,
-0.413701582,-1.415495049,-0.479848387,0.492774565,,,
-0.507188975,0.277528081,-0.503316789,-0.050572297,,,
-2.126915939,-3.646937733,-1.6376969,0.789613351,,,
-3.365768636,-4.484852055,-1.215631251,0.066319535,,,
-3.487584085,-3.499470706,-3.401919035,0.334835068,,,
1.954447091,2.558811388,0.621261799,-0.087403319,,,
-1.180279077,-2.074362791,-1.281111269,0.203505371,,,
-3.573053426,-3.473594031,-2.886258123,-0.735139762,,,
-2.564326703,-4.489226902,-0.723180836,-0.609035673,,,
-1.71682992,-3.348417422,0.495393806,-0.122190642,,,
-0.640791624,0.494281647,-2.42889848,0.612188892,,,
1.372694547,3.095574997,-0.09042759,0.588646467,,,
1.362126648,3.48772497,0.133266664,-0.75846961,,,
-0.683346868,-2.286541401,-0.467722586,0.994461678,,,
-2.81311465,-2.365738142,-2.412982172,-0.579481216,,,
0.349351552,0.961423131,-0.408225636,-0.441309655,,,
-1.270459579,-0.867529597,-1.463072629,-0.232191634,,,
-1.050959848,-3.109683639,0.328696971,-0.06681441,,,
2.47759396,3.43838401,0.504688683,0.662816819,,,
-1.054745453,-1.488051375,-1.870040399,0.37591188,,,
-2.004415466,-3.213507157,0.525754882,0.048666708,,,
-2.411359039,-3.452615333,-0.031801296,0.238650102,,,
-3.069148102,-3.534240856,-1.516784629,-0.822206233,,,
-3.519367579,-4.078721105,-1.780320175,-0.562049031,,,
-0.006998867,0.155061264,-0.384321934,-0.040540289,,,
1.868975094,4.37527041,0.875421699,-0.722840492,,,
-1.200510022,-2.501675542,-0.226572922,-0.152418221,,,
0.838489381,2.618050345,-0.410496879,0.211478707,,,
-0.573294509,-0.985674175,-0.841432999,0.611082558,,,
-2.095805662,-2.589651955,-0.814261067,0.402369158,,,
-1.316232863,-1.469263163,-1.672332709,-0.173329003,,,
0.743897281,2.260870642,-0.812249238,-0.312324744,,,
-1.111186646,-1.167306392,-1.832238033,-0.153011515,,,
0.599787175,-0.085773578,-0.101587073,0.811207782,,,
-0.776466057,1.376013471,-0.631372567,-0.921760606,,,
-3.071027323,-5.075248383,-0.553187624,-0.658333498,,,
-4.147793611,-5.540128031,-1.698501292,-0.551865013,,,
-1.950949619,-3.940664496,0.164854117,-0.495652252,,,
1.966329046,3.578382535,0.643987804,-0.315516806,,,
-2.790298581,-3.34444175,-0.913992184,-0.526557709,,,
-3.350989501,-3.933619493,-4.914523278,0.782334457,,,
-2.414963112,-3.252742653,-0.921702458,-0.448833571,,,
1.682998009,3.216665062,0.344137914,-0.011602755,,,
-2.52219669,-1.926706489,-1.443009241,-0.511606865,,,
-1.600058723,-1.978552688,-1.903432494,-0.521584313,,,
-4.447909125,-3.675716622,-3.024853537,-0.466939944,,,
0.593247689,0.592080634,-0.507008687,0.921221079,,,
0.257351313,1.406987486,-1.093765418,-0.048272134,,,
3.258741145,5.255664987,0.304846692,0.857351847,,,
-0.736344315,-2.637720792,0.042055176,-0.361490139,,,
-1.261821378,-1.665716004,-1.852618761,-0.447331495,,,
-1.382723781,-0.392524803,-1.834777835,-0.176643569,,,
-2.210310769,-4.098151272,-0.753680157,0.74566045,,,
1.21086093,2.369577231,0.017308135,-0.05465818,,,
-1.640173723,-2.36275471,-0.572387955,0.078629558,,,
-2.135911179,-3.163496595,0.269529291,-0.920709507,,,
-0.782434053,-0.445617889,-1.417991336,0.044998613,,,
-2.955875303,-4.367437567,-0.423654759,-0.499651657,,,
1.006256045,1.669889673,-0.1166244,0.383404679,,,
-0.625642352,-0.055629872,-0.96801567,0.275278526,,,
2.625808939,5.07868679,0.792246644,0.760708723,,,
-4.010576196,-3.24070776,-4.08652031,0.71306825,,,
-0.79752298,-0.354913802,-0.734840571,-0.810065038,,,
